source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,stage,reject_reason,evidence
goodfirms,Mistral Solutions,"Bengaluru, India",https://www.mistralsolutions.com/product-engineering-services/,mistralsolutions.com,1997,250+,,,,,,A,already_in_crm,domain mistralsolutions.com on a live deal
goodfirms,DTC Infotech,"Bengaluru, India",https://dtcinfotech.com/,dtcinfotech.com,2021,50-249,,,,,,A,already_in_crm,domain dtcinfotech.com on a live deal
goodfirms,Mars Web Solution,"Bengaluru, India",https://www.marswebsolution.com/,marswebsolution.com,2007,50-249,,,,,,A,already_in_crm,domain marswebsolution.com on a live deal
goodfirms,Ideesys,"Bengaluru, India",https://www.ideesys.com/,ideesys.com,2014,10-49,,,,,,A,already_in_crm,domain ideesys.com on a live deal
goodfirms,Chimera Technologies Pvt Ltd,"Bengaluru, India",http://www.chimeratechnologies.com,chimeratechnologies.com,2001,50-249,,,,,,A,already_in_crm,"name ~ ""chimera"" >=0.92"
goodfirms,Rupstech Pvt. Ltd,"Bengaluru, India",https://www.rupstech.com,rupstech.com,2018,50-249,,,,,,A,already_in_crm,domain rupstech.com on a live deal
goodfirms,Indglobal Digital,"Bengaluru, India",https://indglobal.in/,indglobal.in,2010,50-249,,,,,,A,already_in_crm,domain indglobal.in on a live deal
goodfirms,Imversion Technologies,"Bengaluru, India",https://www.imversion.com/,imversion.com,2018,10-49,,,,,,A,already_in_crm,domain imversion.com on a live deal
goodfirms,Innovellent Technologies Pvt. Ltd.,"Bengaluru, India",http://www.innovellent.com,innovellent.com,2015,10-49,,,,,,A,already_in_crm,domain innovellent.com on a live deal
goodfirms,Canarys,"Bengaluru, India",https://www.ecanarys.com/,ecanarys.com,1988,50-249,,,,,,A,already_in_crm,domain ecanarys.com on a live deal
goodfirms,external experts,"Bengaluru, India",https://www.externalexperts.com/,externalexperts.com,2015,10-49,,,,,,A,already_in_crm,domain externalexperts.com on a live deal
goodfirms,91social,"Bengaluru, India",https://www.91social.com,91social.com,2016,10-49,,,,,,A,already_in_crm,domain 91social.com on a live deal
goodfirms,AdventSys Technologies Private Limited,"Bengaluru, India",http://www.adventsys.in,adventsys.in,2015,50-249,,,,,,A,already_in_crm,domain adventsys.in on a live deal
goodfirms,Logituit,"Bengaluru, India",http://www.logituit.com,logituit.com,2010,10-49,,,,,,A,already_in_crm,domain logituit.com on a live deal
goodfirms,Fibonalabs,"Bengaluru, India",https://www.fibonalabs.com/,fibonalabs.com,2018,50-249,,,,,,A,already_in_crm,domain fibonalabs.com on a live deal
goodfirms,Cybersapient,"Bengaluru, India",https://cybersapient.io/,cybersapient.io,2022,50-249,,,,,,A,already_in_crm,domain cybersapient.io on a live deal
goodfirms,Ideafloats Technologies,"Bengaluru, India",https://ideafloats.com,ideafloats.com,2022,10-49,,,,,,A,already_in_crm,domain ideafloats.com on a live deal
goodfirms,Creant Technologies Private Limited,"Bengaluru, India",https://www.creanttechnologies.com/,creanttechnologies.com,2017,10-49,,,,,,A,already_in_crm,domain creanttechnologies.com on a live deal
goodfirms,baaz,"Bengaluru, India",https://www.baaz.pro,baaz.pro,2018,10-49,,,,,,A,already_in_crm,"name ~ ""baaz"" >=0.92"
goodfirms,Santeware Healthcare Solutions,"Bengaluru, India",https://santeware.com/,santeware.com,2017,10-49,,,,,,A,already_in_crm,domain santeware.com on a live deal
goodfirms,Etc InfoSolutions,"Bengaluru, India",https://www.etcinfosolutions.com/,etcinfosolutions.com,2019,<10,,,,,,A,already_in_crm,"name ~ ""ec infosolutions"" >=0.92"
goodfirms,Kasetti Technologies,"Bengaluru, India",https://techkasetti.com/,techkasetti.com,2017,10-49,,,,,,A,already_in_crm,domain techkasetti.com on a live deal
goodfirms,Hexa Solutions,"Bengaluru, India",https://hexasolutions.in/,hexasolutions.in,2019,50-249,,,,,,A,already_in_crm,domain hexasolutions.in on a live deal
goodfirms+nasscom,Fastcurve,"Bengaluru, India",https://fastcurveservices.com/,fastcurveservices.com,2018,10-49,,,,,,A,already_in_crm,domain fastcurveservices.com on a live deal
