Company Name,Domain Name,Sector,Overview,Funding, Shortlisted? (Yes/No) , Annual Revenue ($ M) ,No. of Employees,Name of the founder 1,LinkedIn,Phone numbers,,,,Total Funding Amount ($M),Year Founded,Year Deadpooled,Years in Existence
Wyse,wyse.co.in,Enterprise Applications,Cloud based HRMS for SMBs,No, to check ,  0.4 ,  21 ,Yogendra Wadaskar,https://in.linkedin.com/in/yogendra-wadaskar-04b18514,,,,,-,1993,2023,30
Lawyapp,lawyapp.com,Enterprise Applications,Legal practice management tool for lawyers,No, to check ,  0.2 ,  2 ,0,0,,,,,-,2016,2021,5
CashMama,cashmama.in,FinTech,Online personal loans platform for individuals,No, to check ,  6.1 ,  157 ,Sharat Chandra Konatham,https://in.linkedin.com/in/sharat-chandra-onion-credit,,,,,-,2018,2020,2
Femcare,femcare.co.in,HealthTech,Provider of an online teleconsultation platform for multiple diseases,No, to check ,  1.6 , - ,Nemi Chand,https://linkedin.com/in/nemi-chand-2ab17b78,,,,,-,2020,2020,0
MyDhan,mydhan.in,FinTech,Online expense management platform for individuals,No, to check ,  -   ,  17 ,0,0,,,,,-,2020,2021,1
Farmpal,farmpal.co.in,Food and Agriculture Tech,Provider of a technology driven platform that connects farmers directly with businesses,No, to check ,  0.8 ,  57 ,Karansaheb Dnyandev Hon,https://linkedin.com/in/karanhon,,,,,-,2017,2024,7
Scocre,scocre.com,FinTech,Online platform for checking credit scores,No, to check ,  1.5 ,  14 ,0,0,,,,,-,2019,2023,4
Manpasand,manpasand.app,Consumer,Video social network app,No, to check ,  0.9 , - ,Vaibhav Agrawal,http://linkedin.com/in/vaibhav-agrawal-04077424,,,,,-,2018,2019,1
ACES,acesindia.in,Consumer,Online platform for booking air conditioning services,No, to check ,  2.1 ,  12 ,Prateek G,https://linkedin.com/in/prateekg94,,,,,-,2020,2025,5
Ideaplunge,ideaplunge.com,Retail,SaaS products for enterprises,No, to check ,  0.5 ,  56 ,Girish Chander Yellpragada,https://in.linkedin.com/in/girishchandery,,,,,-,2012,2024,12
Minits,minits.com,Consumer,App based platform for group chat,No, to check ,  0.3 ,  6 ,Sundarabalaji Kishore,0,,,,,-,2001,2021,20
Unfiltr,unfiltr.life,Consumer,Online platform for sharing photos,No, to check ,  -   , - ,Paras Gupta,https://linkedin.com/in/paras1997,,,,,-,2021,2024,3
