run_id,actor,status,started_at,finished_at,usage_usd
dAjBIrJNDiJGokfzQ,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:35:21.960Z,2026-08-26T12:35:41.421Z,0.075
vZGbIc5x1hpehql0O,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:35:47.462Z,2026-08-26T12:36:00.754Z,0.075
t0ZdlirWgvu6KteWr,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:36:02.377Z,2026-08-26T12:36:28.988Z,0.075
a7rLLeugoQPLM7j8a,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:36:30.070Z,2026-08-26T12:36:41.322Z,0.075
ipqgy0s9Xsaacc143,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:36:45.551Z,2026-08-26T12:37:02.037Z,0.075
0ocuE1tXivGPZJl6X,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:37:04.058Z,2026-08-26T12:37:11.747Z,0.075
4Iaqr2PWmRuabN64v,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:37:19.067Z,2026-08-26T12:37:28.829Z,0.075
z6Z38a70gZRwrRg9t,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:37:31.277Z,2026-08-26T12:37:50.355Z,0.075
KWiTGhgd3OPzHKshw,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:37:53.615Z,2026-08-26T12:38:25.971Z,0.0594
qcCNBTfiI7g98Q28V,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:38:29.926Z,2026-08-26T12:38:48.885Z,0.075
Sz8sPAqHuKtdO0zaZ,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:38:53.410Z,2026-08-26T12:39:04.509Z,0.075
ONnCq305wTdkGzfby,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:39:08.454Z,2026-08-26T12:39:18.151Z,0.075
Gxx0UoKLY1hBraneQ,solidcode/google-maps-scraper-2-5-per-1-000-results,SUCCEEDED,2026-08-26T12:39:23.335Z,2026-08-26T12:39:44.027Z,0.075
RcGPRMJiAxZ6f9IcE,harvestapi/linkedin-profile-scraper,SUCCEEDED,2026-08-27T09:20:45.297Z,2026-08-27T09:22:11.225Z,1.1360000000000001
Ydn4RSI1iseRll1oD,harvestapi/linkedin-company,SUCCEEDED,2026-08-27T09:22:18.021Z,2026-08-27T09:23:24.692Z,0.9480500000000001
N7rOnCbaFjiw7Ws91,zen-studio/10times-events-scraper,SUCCEEDED,2026-08-27T12:16:58.384Z,2026-08-27T12:17:34.896Z,0.09874999999999999
xgFdK9u56uQmG9j8x,parseforge/eventbrite-scraper,SUCCEEDED,2026-08-27T12:18:14.155Z,2026-08-27T12:18:21.153Z,0.08377
WUHwf5GxiXkLFPf7b,zen-studio/10times-events-scraper,SUCCEEDED,2026-08-27T12:19:30.100Z,2026-08-27T12:20:05.668Z,0.11191
jyYdX9hXvjgsrRU7N,zen-studio/10times-events-scraper,SUCCEEDED,2026-08-27T12:20:28.399Z,2026-08-27T12:22:09.601Z,0.00663
gxuESqIyMP1x2P5kz,zen-studio/10times-events-scraper,SUCCEEDED,2026-08-27T12:23:37.034Z,2026-08-27T12:24:10.792Z,0.09874999999999999
opn4hO1Yknqa0CWhL,apify/website-content-crawler,SUCCEEDED,2026-08-27T12:24:39.599Z,2026-08-27T12:25:49.298Z,0.03348660411359204
NEg9UfWEzpiHokDdL,apify/google-search-scraper,SUCCEEDED,2026-08-27T12:26:28.881Z,2026-08-27T12:26:43.473Z,0.0085
gFitB1Ytg0YMiFNfr,apify/website-content-crawler,SUCCEEDED,2026-08-27T12:27:35.143Z,2026-08-27T12:28:17.360Z,0.019869664813187388
1InZvzGh22vbSLwFw,apify/google-search-scraper,SUCCEEDED,2026-08-31T09:45:45.798Z,2026-08-31T09:46:05.707Z,0.018500000000000003
