rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
757,Globex Digital Solutions Private Limited,Hyderabad,1,https://www.globexdigitalcorp.com,globexdigitalcorp.com,,,,
769,GreatFour Systems Private Limited,Hyderabad,1,http://greatfour.com,greatfour.com,,,,
781,GTMVantage Technologies Private Limited,Greater Noida,1,https://gtmvantage.com/,gtmvantage.com,,,,
793,HanuAl Private Limited,Delhi,1,https://roadathena.com/,roadathena.com,,,,
805,Heera Software Private Limited,Pune,1,http://www.heerasoftware.com,heerasoftware.com,,,,
817,Hinduja Global Solutions Ltd,Bengaluru,1,http://www.teamhgs.com,teamhgs.com,,,,
829,HSBC Software Development (India) Pvt Ltd,Pune,1,http://www.hsbcsoftwaredevelopment.com,hsbcsoftwaredevelopment.com,,,,
841,iamneo Edutech Private Limited,Coimbatore,1,https://iamneo.ai/,iamneo.ai,,,,
853,IEMA Research & Development Private Limited,Kolkata,1,http://www.iemlabs.com,iemlabs.com,,,,
865,Impetus Technologies India Private Limited,Noida,1,http://www.impetus.com,impetus.com,,,,
877,India Land Tech Park Private Limited,Coimbatore,1,http://indialand.net/,indialand.net,,,,
889,Inference Labs Private Limited,Bengaluru,1,https://inference.in/,inference.in,,,,
901,Infomate 360 Solutions India Private Limited,Hyderabad,1,http://www.infomate360.com,infomate360.com,,,,
913,Initium Digital Private Limited,Pune,1,https://initiumdigital.com/,initiumdigital.com,,,,
925,InOrg Global India Private Limited,Pune,1,https://www.inorg.com,inorg.com,,,,
937,Intact Business Services Private Limited,Gurugram,1,https://www.intactinsurance.co.uk/,intactinsurance.co.uk,,,,
949,Intelliob Technologies Pvt Ltd,Mumbai,1,http://www.intelliob.com,intelliob.com,,,,
961,Inzuscene Technologies Private Limited,Kolkata,1,https://inzuscene.com/,inzuscene.com,,,,
973,IT Infrastructure Park Private Limited,Noida,1,https://crcgroup.in,crcgroup.in,,,,
985,Ixsight Technologies Pvt Ltd,Pune,1,http://www.ixsight.com,ixsight.com,,,,
997,Jones Lang LaSalle Property Consultants (India) Private Limited,New Delhi,1,https://www.jll.co.in/,jll.co.in,,,,
1009,Kalpatharu Software Limited,Chennai,1,http://kalsofte.com/new/,kalsofte.com,,,,
1021,Kenvue Solutions India Private Limited,Bengaluru,1,http://www.kenvue.com,kenvue.com,,,,
1033,KLoc Technologies Private Limited,Bengaluru,1,https://www.kloctechnologies.com,kloctechnologies.com,,,,
1045,Kreeti Technologies Private Limited,Kolkata,1,http://www.kreeti.com/,kreeti.com,,,,
