row,company_name,domain,website,city,headcount,band_label,founded_year,prequal_score,prequal_rank,tier,source,signalhire_status,founder_name,founder_title,founder_linkedin,founder_mobile_+91,notes_from_vendor
39,Patoliya Infotech,patoliyainfotech.com,https://patoliyainfotech.com,"Surat, India",150,50-249,,85,84,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
40,SOFT RADIX TECHNOLOGIES PRIVATE LIMITED,softradix.com,https://softradix.com,"Mohali, India",150,50-249,,85,86,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
41,Atologist Infotech Pvt Ltd,atologistinfotech.com,https://atologistinfotech.com,"Surat, India",150,50-249,,85,91,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
42,Karmsoft,karmsoft.com,https://karmsoft.com,"Ahmedabad, India",30,10-49,,85,92,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
43,Zordial Technologies Pvt. Ltd.,zordial.com,https://zordial.com,"Jaipur, India",150,50-249,,85,94,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
44,ReapMind Innovations Pvt Ltd,reapmind.com,https://reapmind.com,"Bengaluru, India",150,50-249,,85,96,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
45,TechTez LLP,techtez.com,https://techtez.com,"Bengaluru, India",150,50-249,,85,97,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
46,CaliberFocus Business Solutions Private Limited,caliberfocus.com,https://caliberfocus.com,Chennai,,,,80,106,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
47,Fare Portal India Private Limited,fareportal.com,https://fareportal.com,Gurugram,,,,80,107,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
48,CodebergIT (Hiring & Tech Partner),codebergit.com,https://codebergit.com,"Nagpur, India",30,10-49,,80,109,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
49,NavTark Solutions Pvt. Ltd.,navtark.com,https://navtark.com,"Indore, India",30,10-49,,80,110,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
50,GTCSYS,gtcsys.com,https://gtcsys.com,"Ahmedabad, India",30,10-49,,80,111,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
51,Asiczen Technologies India Private Limited,asiczen.com,https://asiczen.com,Bhubaneswar,,,,80,114,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
52,Innovator web solution,innovatorwebsolutions.com,https://innovatorwebsolutions.com,"Mumbai, India",30,10-49,,80,115,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
53,Bynaric Systems Pvt. Ltd.,bynaric.in,https://bynaric.in,"Pune, India",150,50-249,,80,118,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
54,Arete Softwares,aretesoftwares.com,https://aretesoftwares.com,"Delhi, India",30,10-49,,80,119,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
55,Coactive Solutions,coactivesolutions.co.in,https://coactivesolutions.co.in,"Kolkata, India",30,10-49,,80,120,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
56,Zebra Techies Solution,zebratechies.com,https://zebratechies.com,"Kolkata, India",150,50-249,,80,121,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
57,Qualifyde Technologies Private Limited,qualifyde.com,https://qualifyde.com,Hyderabad,,,,80,122,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
58,Tech2Globe Web Solutions LLP,tech2globe.com,https://tech2globe.com,"Noida, India",150,50-249,,80,123,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
59,Opcito Technologies Private Limited,opcito.com,https://opcito.com,Pune,,,,80,124,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
60,DEBOX GLOBAL,deboxglobal.com,https://deboxglobal.com,"Noida, India",30,10-49,,80,125,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
61,Oasys Cybernetics Private Limited,oasys.co,https://oasys.co,Chennai,,,,80,126,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
62,Salasar Cyber Solutions,salasarcybersolutions.com,https://salasarcybersolutions.com,"Indore, India",150,50-249,,80,127,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
63,LogiQuad Solutions Private Limited,logiquad.com,https://logiquad.com,Pune,,,,80,129,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
64,Nectarbits Pvt. Ltd.,nectarbits.com,https://nectarbits.com,"Ahmedabad, India",150,50-249,,80,130,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
65,Intellinet Systems Pvt Ltd,intellinetsystem.com,https://intellinetsystem.com,Gurugram,,,,80,131,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
66,Softqube Technologies Pvt. Ltd.,softqubes.com,https://softqubes.com,"Ahmedabad, India",150,50-249,,80,132,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
67,TechGlock Software Solutions,techglock.com,https://techglock.com,"Mohali, India",30,10-49,,80,134,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
68,Ascure Technology,ascuretech.com,https://ascuretech.com,"Jaipur, India",30,10-49,,80,136,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
69,Xtag Services Pvt Ltd,xtagservices.com,https://xtagservices.com,"Nagpur, India",30,10-49,,80,141,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
70,W3villa Technologies,w3villa.com,https://w3villa.com,"Noida, India",150,50-249,,80,143,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
71,DesIDEA Software Technologies Pvt ltd,desidea.com,https://desidea.com,"Hyderabad, India",150,50-249,,80,145,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
72,iPrism Technologies,iprismtech.com,https://iprismtech.com,"Hyderabad, India",150,50-249,,80,146,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
73,"SharpQuest, Inc.",sharpquest.com,https://sharpquest.com,"Ahmedabad, India",30,10-49,,80,147,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
74,Nile Technologies Pvt. Ltd.,niletechnologies.com,https://niletechnologies.com,"Noida, India",150,50-249,,80,148,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
75,Dasinfomedia,dasinfomedia.com,https://dasinfomedia.com,"Ahmedabad, India",30,10-49,,80,149,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
76,Apponward Technologies Pvt Ltd,apponward.com,https://apponward.com,"Noida, India",150,50-249,,80,150,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
77,Networsys Technologies LLP,networsys.com,https://networsys.com,"Noida, India",30,10-49,,80,153,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
78,DaasLabs,daaslabs.ai,https://daaslabs.ai,"Gurgaon, India",150,50-249,,80,157,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
79,Technanosoft Technologies,technanosoft.com,https://technanosoft.com,"Noida, India",30,10-49,,80,158,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
80,Precise Testing Solution Private Limited,precisetestingsolution.com,https://precisetestingsolution.com,Noida,,,,80,159,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
81,Micropyramid Informatics Pvt Ltd,micropyramid.com,https://micropyramid.com,"Hyderabad, India",30,10-49,,80,160,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
82,Simublade,simublade.com,https://simublade.com,"Noida, India",150,50-249,,80,161,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
83,Maraekat InfoTech Limited,maraekat.com,https://maraekat.com,Mumbai,,,,80,162,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
84,Lexington Soft Pvt Ltd,lexingtonsoft.com,https://lexingtonsoft.com,Chennai,,,,77,165,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
85,Sourcemash Technologies Private Limited,sourcemash.com,https://sourcemash.com,Punjab,,,,75,167,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
86,Global Infovision Pvt Ltd,globalinfovision.com,https://globalinfovision.com,Hyderabad,,,,75,168,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
87,Five Exceptions Software Solutions Pvt Ltd,5exceptions.com,https://5exceptions.com,"Indore, India",30,10-49,,75,169,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
88,Armia Systems Private Limited,armia.com,https://armia.com,Kochi,,,,75,170,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
89,Novaya,novayasoft.com,https://novayasoft.com,"Hyderabad, India",30,10-49,,75,173,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
90,iSummation Technologies,isummation.com,https://isummation.com,"Ahmedabad, India",150,50-249,,75,174,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
91,Webdecorum,webdecorum.com,https://webdecorum.com,"Gurgaon, India",30,10-49,,75,175,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
92,Grawlix Software Private Limited,grawlixsoft.com,https://grawlixsoft.com,"Pune, India",150,50-249,,75,179,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
93,Sensussoft Software Pvt.Ltd,sensussoft.com,https://sensussoft.com,"Surat, India",30,10-49,,75,180,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
94,Digital HubSolution,digitalhubsolution.com,https://digitalhubsolution.com,"Noida, India",150,50-249,,75,181,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
95,Prishusoft,prishusoft.com,https://prishusoft.com,"Ahmedabad, India",30,10-49,,75,182,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
96,Devstringx Technologies Pvt Ltd,devstringx.com,https://devstringx.com,"Noida, India",150,50-249,,75,183,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
97,IndaPoint Technologies Pvt. Ltd.,indapoint.com,https://indapoint.com,"Vadodara, India",30,10-49,,75,185,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
98,Space-O Technologies,spaceotechnologies.com,https://spaceotechnologies.com,"Ahmedabad, India",150,50-249,,75,188,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
99,Stellen Infotech,stelleninfotech.com,https://stelleninfotech.com,"Mohali, India",150,50-249,,75,189,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
100,Arbaan GT Private Limited,arbaan.com,https://arbaan.com,"Chennai, India",30,10-49,,75,193,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
101,Shalom Info Tech Pvt Ltd,shalominfotech.com,https://shalominfotech.com,Trichy,,,,75,194,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
102,WovVTech,wovvtech.com,https://wovvtech.com,"Mumbai, India",150,50-249,,75,196,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
103,Trank Technologies,tranktechnologies.com,https://tranktechnologies.com,"Gurgaon, India",150,50-249,,75,197,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
104,IMG Global Infotech Pvt. Ltd,imgglobalinfotech.com,https://imgglobalinfotech.com,"Jaipur, India",150,50-249,,75,198,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
105,Teknotrait,teknotrait.com,https://teknotrait.com,"Bengaluru, India",150,50-249,,75,200,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
106,DIATOZ SOLUTIONS PRIVATE LIMITED,diatoz.com,https://diatoz.com,"Bengaluru, India",150,50-249,,75,201,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
107,Sapphire Software Solutions,sapphiresolutions.net,https://sapphiresolutions.net,"Ahmedabad, India",150,50-249,,75,205,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
108,"NCode Technologies, Inc.",ncodetechnologies.com,https://ncodetechnologies.com,"Ahmedabad, India",30,10-49,,75,208,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
109,Niraltek Solutions,niraltek.com,https://niraltek.com,"Chennai, India",30,10-49,,75,214,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
110,Rainstreamweb,rainstreamweb.com,https://rainstreamweb.com,"Ahmedabad, India",150,50-249,,75,215,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
111,IQ Infotech,iqinfotech.co.in,https://iqinfotech.co.in,"Delhi, India",150,50-249,,75,218,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
112,Digital Crew India,digitalcrew.co.in,https://digitalcrew.co.in,"Indore, India",150,50-249,,75,222,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
113,Trigma,trigma.com,https://trigma.com,"Mohali, India",150,50-249,,75,223,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
114,Markovate,markovate.com,https://markovate.com,"Gurgaon, India",150,50-249,,75,228,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
115,PM Square Soft Services Private Limited,pmsquaresoft.com,https://pmsquaresoft.com,"Coimbatore, India",30,10-49,,75,231,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
116,WeblineIndia,weblineindia.com,https://weblineindia.com,"Ahmedabad, India",150,50-249,,75,234,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
117,mPhatek Systems Private Limited,mphatek.com,https://mphatek.com,Pune,,,,75,235,Tier-A,nasscom,SignalHire already tried — no founder found,,,,,
118,SourceDesk,sourcedesk.io,https://sourcedesk.io,"Kolkata, India",150,50-249,,75,237,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
119,DNG Web Developer,dngwebdeveloper.com,https://dngwebdeveloper.com,"Ahmedabad, India",150,50-249,,75,238,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
120,The Night Marketer,thenightmarketer.com,https://thenightmarketer.com,"Delhi, India",30,10-49,,75,239,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
121,ARVS IT Solutions Pvt. Ltd.,arvs.in,https://arvs.in,"Noida, India",30,10-49,,75,243,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
122,Keeves Technologies Private Limited,keevestechnologies.com,https://keevestechnologies.com,"Kolkata, India",150,50-249,,75,247,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
123,Tunerlabs Consulting Private Limited,tunerlabs.com,https://tunerlabs.com,"Bengaluru, India",30,10-49,,75,249,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
124,Daydreamsoft Infotech LLP,daydreamsoft.com,https://daydreamsoft.com,"Surat, India",150,50-249,,75,251,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
125,TECUNIQUE PRIVATE LIMITED,tecunique.com,https://tecunique.com,"Vadodara, India",30,10-49,,75,254,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
126,Aimdek Technologies,aimdek.com,https://aimdek.com,"Ahmedabad, India",150,50-249,,75,255,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
127,Xenovex Technologies Pvt Ltd,xenovex.com,https://xenovex.com,"Chennai, India",150,50-249,,75,256,Tier-A,goodfirms+nasscom,SignalHire already tried — no founder found,,,,,
128,Tvisha Technologies Inc,tvisha.com,https://tvisha.com,"Hyderabad, India",150,50-249,,75,260,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
129,EMedStore,emedstore.in,https://emedstore.in,"Ahmedabad, India",150,50-249,,75,262,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
130,eSoft Technologies Pvt. Ltd.,esoftech.com,https://esoftech.com,"Mumbai, India",150,50-249,,75,265,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
131,Vibhuti Technologies,vibhuti.biz,https://vibhuti.biz,"Mohali, India",150,50-249,,75,267,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
132,Atyantik Technologies Pvt. Ltd.,atyantik.com,https://atyantik.com,"Vadodara, India",150,50-249,,75,268,Tier-A,goodfirms,SignalHire already tried — no founder found,,,,,
