status,company,domain,city,score,reason_or_rank,lead_source,owner,deal_id
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Peerbits,peerbits.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342832323278
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Sky Productivity,skyproductivity.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342802922172
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Variance InfoTech Pvt Ltd,varianceinfotech.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Lamiya Saleem,342790277819
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Tntra,tntra.io,"Vadodara, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342827359935
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Odan Infotech,odaninfotech.com,"Surat, India",,No Pickup,Founder Search ( IT Services ),Lamiya Saleem,342793899769
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Pixlogix Infotech Pvt. Ltd,pixlogix.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342772020961
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,LaMinds,laminds.com,"Surat, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,343023021788
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Tech Celerity Global Solutions Pvt. Ltd.,techcelerity.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342983460579
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Silicon IT Hub,siliconithub.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342987257567
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Devstree IT Solutions,devstree.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342978024126
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Lemolite,lemolite.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Lamiya Saleem,342992673521
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,PEANUT SQUARE LLP,peanutsquare.com,"Ahmedabad, India",,No Pickup,Founder Search ( IT Services ),Yuktha Anand,342976212723
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Simform,simform.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Scraping Algo ( IT services ),(unassigned),340112021238
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Rysun Labs Private Limited,rysun.com,Ahmedabad,,Dead/ColdCall/WrongNumber,NASSCOM ( IT Services ),Lamiya Saleem,342085187276
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Orange Technolab Pvt Ltd,orangewebtech.com,Ahmedabad,,Dead/ColdCall/WrongNumber,NASSCOM ( IT Services ),Yuktha Anand,342192078523
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Concetto Labs,concettolabs.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Scraping Algo ( IT services ),Lamiya Saleem,342511638217
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,IT Path Solutions,itpathsolutions.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Scraping Algo ( IT services ),Yuktha Anand,342456376044
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Intellial Solutions Pvt Ltd,intellial.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Scraping Algo ( IT services ),Yuktha Anand,342459929335
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,FinByz Tech Pvt Ltd,finbyz.tech,"Ahmedabad, India",,Dead/ColdCall/WrongNumber + Wrong SPOC (note),Scraping Algo ( IT services ),Lamiya Saleem,342399016683
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Manektech,manektech.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Scraping Algo ( IT services ),Lamiya Saleem,342400601845
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Concept Infoway,conceptinfoway.net,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Founder Search ( IT Services ),Lamiya Saleem,342456412879
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Netclues,netclues.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber + Wrong SPOC (note),Founder Search ( IT Services ),Lamiya Saleem,342596479720
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Rlogical Techsoft pvt ltd.,rlogical.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Founder Search ( IT Services ),Lamiya Saleem,342764784371
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Multipz Technology,multipz.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Founder Search ( IT Services ),Yuktha Anand,342990911184
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Mobio Solutions,mobiosolutions.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Founder Search ( IT Services ),Lamiya Saleem,342967085803
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,The Intellify,theintellify.com,"Ahmedabad, India",,Dead/ColdCall/WrongNumber,Founder Search ( IT Services ),Lamiya Saleem,342970822360
On HubSpot — currently No Pickup / Wrong Number / Wrong SPOC,Netweb Software Pvt Ltd,netweb.biz,Vadodara,,Wrong SPOC (note),NASSCOM ( IT Services ),Lamiya Saleem,342212538075
Tier-A queue (active),Techforce Global,techforceglobal.com,"Ahmedabad, India",120,rank 1,,,
Tier-A queue (active),Codemech Solutions,codemechsolutions.com,"Ahmedabad, India",110,rank 4,,,
Tier-A queue (active),Zluck Solutions,zluck.com,"Surat, India",110,rank 6,,,
Tier-A queue (active),XongoLab Technologies LLP,xongolab.com,"Ahmedabad, India",110,rank 7,,,
Tier-A queue (active),Shine Infosoft,shineinfosoft.in,"Ahmedabad, India",110,rank 9,,,
Tier-A queue (active),Digital Web Weaver,digitalwebweaver.com,"Vadodara, India",105,rank 12,,,
Tier-A queue (active),Rays Techserv Private Limited,raystechserv.com,"Ahmedabad, India",100,rank 13,,,
Tier-A queue (active),Verve Systems Pvt. Ltd.,vervesys.com,"Ahmedabad, India",100,rank 19,,,
Tier-A queue (active),QalbIT Infotech Pvt Ltd.,qalbit.com,"Ahmedabad, India",100,rank 24,,,
Tier-A queue (active),Tagline Infotech,taglineinfotech.com,"Surat, India",95,rank 27,,,
Tier-A queue (active),Concept Infoway,conceptinfoway.net,"Ahmedabad, India",95,rank 29,,,
Tier-A queue (active),Triveni Global Software Services LLP,triveniglobalsoft.com,"Surat, India",95,rank 31,,,
Tier-A queue (active),M-Square Technologies,msquaretec.com,"Surat, India",95,rank 40,,,
Tier-A queue (active),Ankpal Technologies Private Limited,ankpal.com,"Ahmedabad, India",90,rank 62,,,
Tier-A queue (active),Webmyne Systems,webmyne.com,"Vadodara, India",85,rank 72,,,
Tier-A queue (active),HourlyDeveloper.io,hourlydeveloper.io,"Ahmedabad, India",85,rank 75,,,
Tier-A queue (active),i-Verve Inc,i-verve.com,"Ahmedabad, India",85,rank 76,,,
Tier-A queue (active),QDev Technolab,qdevtechnolab.com,"Ahmedabad, India",85,rank 77,,,
Tier-A queue (active),Ark infosoft,arkinfosoft.com,"Ahmedabad, India",85,rank 79,,,
Tier-A queue (active),Zealous System,zealousys.com,"Ahmedabad, India",85,rank 81,,,
Tier-A queue (active),Patoliya Infotech,patoliyainfotech.com,"Surat, India",85,rank 84,,,
Tier-A queue (active),Atologist Infotech Pvt Ltd,atologistinfotech.com,"Surat, India",85,rank 91,,,
Tier-A queue (active),Karmsoft,karmsoft.com,"Ahmedabad, India",85,rank 92,,,
Tier-A queue (active),SSTech System,sstechsystem.com,"Ahmedabad, India",85,rank 100,,,
Tier-A queue (active),Overseas Web Solution,overseaswebsolution.com,"Ahmedabad, India",85,rank 101,,,
Tier-A queue (active),Rejoicehub,rejoicehub.com,"Surat, India",82,rank 103,,,
Tier-A queue (active),GTCSYS,gtcsys.com,"Ahmedabad, India",80,rank 111,,,
Tier-A queue (active),SilverSky Technology,silverskytechnology.com,"Ahmedabad, India",80,rank 112,,,
Tier-A queue (active),Nectarbits Pvt. Ltd.,nectarbits.com,"Ahmedabad, India",80,rank 130,,,
Tier-A queue (active),Softqube Technologies Pvt. Ltd.,softqubes.com,"Ahmedabad, India",80,rank 132,,,
Tier-A queue (active),BlueEra Softech,blueerasoftech.com,"Vadodara, India",80,rank 137,,,
Tier-A queue (active),WhiteStone Infotech,whitestoneinfotech.com,"Surat, India",80,rank 139,,,
Tier-A queue (active),AI Software LLC,aisoftwarellc.com,"Ahmedabad, India",80,rank 144,,,
Tier-A queue (active),"SharpQuest, Inc.",sharpquest.com,"Ahmedabad, India",80,rank 147,,,
Tier-A queue (active),Dasinfomedia,dasinfomedia.com,"Ahmedabad, India",80,rank 149,,,
Tier-A queue (active),Intellial Solutions Pvt Ltd,intellial.com,"Ahmedabad, India",75,rank 171,,,
Tier-A queue (active),iSummation Technologies,isummation.com,"Ahmedabad, India",75,rank 174,,,
Tier-A queue (active),TechnoCrackers,technocrackers.com,"Ahmedabad, India",75,rank 176,,,
Tier-A queue (active),Concetto Labs,concettolabs.com,"Ahmedabad, India",75,rank 177,,,
Tier-A queue (active),Sensussoft Software Pvt.Ltd,sensussoft.com,"Surat, India",75,rank 180,,,
Tier-A queue (active),Prishusoft,prishusoft.com,"Ahmedabad, India",75,rank 182,,,
Tier-A queue (active),IndaPoint Technologies Pvt. Ltd.,indapoint.com,"Vadodara, India",75,rank 185,,,
Tier-A queue (active),Space-O Technologies,spaceotechnologies.com,"Ahmedabad, India",75,rank 188,,,
Tier-A queue (active),Sapphire Software Solutions,sapphiresolutions.net,"Ahmedabad, India",75,rank 205,,,
Tier-A queue (active),"NCode Technologies, Inc.",ncodetechnologies.com,"Ahmedabad, India",75,rank 208,,,
Tier-A queue (active),Rainstreamweb,rainstreamweb.com,"Ahmedabad, India",75,rank 215,,,
Tier-A queue (active),OptimumBrew Technology,optimumbrew.com,"Surat, India",75,rank 219,,,
Tier-A queue (active),The Dezine,thedezine.in,"Ahmedabad, India",75,rank 220,,,
Tier-A queue (active),Ouranos Technologies Pvt Ltd,ouranostech.com,"Ahmedabad, India",75,rank 227,,,
Tier-A queue (active),GVM Technologies,gvmtechnologies.com,"Surat, India",75,rank 232,,,
Tier-A queue (active),WeblineIndia,weblineindia.com,"Ahmedabad, India",75,rank 234,,,
Tier-A queue (active),Metizsoft Solutions,metizsoft.com,"Ahmedabad, India",75,rank 236,,,
Tier-A queue (active),DNG Web Developer,dngwebdeveloper.com,"Ahmedabad, India",75,rank 238,,,
Tier-A queue (active),Green Apex,green-apex.com,"Ahmedabad, India",75,rank 250,,,
Tier-A queue (active),Daydreamsoft Infotech LLP,daydreamsoft.com,"Surat, India",75,rank 251,,,
