brand_name,legal_name,cin,company_status,company_class,date_of_registration,registered_state,tier,confidence,shutdown_date,shutdown_year,sector,city,funding_usd,investors,reason,domain,dns_resolves,wayback_last_capture,dpiit_recognised,evidence_count,primary_source_url,primary_source_name,all_source_urls,rationale,prequal_total,prequal_max_possible,prequal_pct,prequal_routing,prequal_unscored,pq_funding,pq_years,pq_eng_headcount,pq_sector,pq_code_location,pq_legal_status,github_url,prequal_note
Madhur Nourishment Products LLP,MADHUR NOURISHMENT PRODUCTS LLP,AAF-6086,Under Liquidation,,2016-02-02,maharashtra,confirmed,1.0,,,,,,,,madhurnourishmentproducts.com,0,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,"IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation; site dead (liveness 0.90, NXDOMAIN)",5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
Ashoka Designs Llp,ASHOKA DESIGNS LLP,AAL-7509,Under Liquidation,,2018-01-18,west bengal,confirmed,0.85,,,,,,,,ashokadesigns.com,1,20260212004837,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation,5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
24X7 Learning Private Limited,24X7 Learning Private Limited,U80302KA2001PTC029172,Under Liquidation (IBBI),Private,2001-01-01,Karnataka,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
5 Core Acoustics Private Limited,5 Core Acoustics Private Limited,U29100DL1995PTC072253,Under Liquidation (IBBI),Private,1995-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
9Planets Products Private Limited,9Planets Products Private Limited,U25200MH2012PTC227312,Under Liquidation (IBBI),Private,2012-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A G S Management Services Private Limited,A G S Management Services Private Limited,U45208TG2011PTC077420,Under Liquidation (IBBI),Private,2011-01-01,Telangana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A J Castings Private Ltd,A J Castings Private Ltd,U74899DL1987PTC027618,Under Liquidation (IBBI),Private,1987-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
A M Vinyl Private Limited,A M Vinyl Private Limited,U25202DL2004PTC130642,Under Liquidation (IBBI),Private,2004-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A P Steel Re Rolling Mill Limited,A P Steel Re Rolling Mill Limited,U27105KL1992PLC006651,Under Liquidation (IBBI),Public,1992-01-01,Kerala,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A R Coating Solutions India Private Limited,A R Coating Solutions India Private Limited,U52100MH2012PTC236758,Under Liquidation (IBBI),Private,2012-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A S Sales & Exports Pvt Ltd,A S Sales & Exports Pvt Ltd,U19129WB1994PTC062351,Under Liquidation (IBBI),Private,1994-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A School India Private Limited,A School India Private Limited,U80211TN2011PTC079455,Under Liquidation (IBBI),Private,2011-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A to Z Barter Private Limited,A to Z Barter Private Limited,U70102DL2008PTC178620,Under Liquidation (IBBI),Private,2008-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A.B.M. Concrete Private Limited,A.B.M. Concrete Private Limited,U36912UP2012PTC048943,Under Liquidation (IBBI),Private,2012-01-01,Uttar Pradesh,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
A.L. Sudeshan Construction Company Limited,A.L. Sudeshan Construction Company Limited,U45200TG1992PLC014904,Under Liquidation (IBBI),Public,1992-01-01,Telangana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ABG Shipyard Ltd,ABG Shipyard Ltd,L61200GJ1985PLC007730,Under Liquidation (IBBI),Public,1985-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ABXL Retails (India) Private Limited,ABXL Retails (India) Private Limited,U52399GJ2009PTC057588,Under Liquidation (IBBI),Private,2009-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
AD Victoriam Ventures Private Limited,AD Victoriam Ventures Private Limited,U74900DL2012PTC236633,Under Liquidation (IBBI),Private,2012-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ADA Cellworks Wireless Engineering Private Limited,ADA Cellworks Wireless Engineering Private Limited,U64203MH2004PTC223982,Under Liquidation (IBBI),Private,2004-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ADI Automotived Private Limited,ADI Automotived Private Limited,U34300HR2004PTC035338,Under Liquidation (IBBI),Private,2004-01-01,Haryana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AGI Cargo Private Limited,AGI Cargo Private Limited,U63000DL2011PTC223809,Under Liquidation (IBBI),Private,2011-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AK Power Industries Private Limited,AK Power Industries Private Limited,U40104WB2008PTC130530,Under Liquidation (IBBI),Private,2008-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AKP Plastics Private Limited,AKP Plastics Private Limited,U25205TZ2016PTC027958,Under Liquidation (IBBI),Private,2016-01-01,,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AKR Holdings Private Limited,AKR Holdings Private Limited,U74900TN2009PTC073841,Under Liquidation (IBBI),Private,2009-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AKR Home Depot Private Limited,AKR Home Depot Private Limited,U74999TN2009PTC070461,Under Liquidation (IBBI),Private,2009-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ALPS Liesure Holidays Private Limited,ALPS Liesure Holidays Private Limited,U63040GJ2005PTC045256,Under Liquidation (IBBI),Private,2005-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ANG Industries Limited,ANG Industries Limited,L51909DL1991PLC045084,Under Liquidation (IBBI),Public,1991-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
API Industries Private Limited,API Industries Private Limited,U24139GJ2010PTC061975,Under Liquidation (IBBI),Private,2010-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
ASA Production and Entertainment Private Limited,ASA Production and Entertainment Private Limited,U27000MH2006PTC159131,Under Liquidation (IBBI),Private,2006-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
AVJ Infrastructure Private Limited,AVJ Infrastructure Private Limited,U45400DL2008PTC181118,Under Liquidation (IBBI),Private,2008-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aadhaar Shri Infratech Private Limited,Aadhaar Shri Infratech Private Limited,U45400DL2013PTC260104,Under Liquidation (IBBI),Private,2013-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aaishni Pharmaceuticals Private Limited,Aaishni Pharmaceuticals Private Limited,U24233MH2014PTC252204,Under Liquidation (IBBI),Private,2014-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aaj Ka Anand Papers Limited,Aaj Ka Anand Papers Limited,U22110MH1993PLC034813,Under Liquidation (IBBI),Public,1993-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aakash Lifestyle Private Limited,Aakash Lifestyle Private Limited,U52390MH2012PTC229624,Under Liquidation (IBBI),Private,2012-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aakash Tiles Private Limited,Aakash Tiles Private Limited,U26955MH2006PTC166481,Under Liquidation (IBBI),Private,2006-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aakriti Info-Media Private Limited,Aakriti Info-Media Private Limited,U74300DL2008PTC178128,Under Liquidation (IBBI),Private,2008-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aam Sky Geospatial Solutions Pvt. Ltd.,Aam Sky Geospatial Solutions Pvt. Ltd.,U72200TG2015PTC098746,Under Liquidation (IBBI),Private,2015-01-01,Telangana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aarohi Motors Private Limited,Aarohi Motors Private Limited,U29259GJ1986PTC008690,Under Liquidation (IBBI),Private,1986-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
Aarvanss Infrastructure Private Limited,Aarvanss Infrastructure Private Limited,U45400DL2008PTC172896,Under Liquidation (IBBI),Private,2008-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aarya Equity (India) Private Limited,Aarya Equity (India) Private Limited,U67110MH2006PTC159630,Under Liquidation (IBBI),Private,2006-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aascar Film Private Limited,Aascar Film Private Limited,U92100TN2008PTC068398,Under Liquidation (IBBI),Private,2008-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aashita Builders Private Limited,Aashita Builders Private Limited,U45209MH2010PTC207107,Under Liquidation (IBBI),Private,2010-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aastha Surgimed Private Limited,Aastha Surgimed Private Limited,U74899DL1998PLC094498,Under Liquidation (IBBI),Public,1998-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aawrun Furnishings Man-Tra Private Limited,Aawrun Furnishings Man-Tra Private Limited,U17299WB2005PTC103259,Under Liquidation (IBBI),Private,2005-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Aberdeen Foods Private Limited,Aberdeen Foods Private Limited,U74110PN2020PTC194144,Under Liquidation (IBBI),Private,2020-01-01,,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhay Nutrition Private Limited,Abhay Nutrition Private Limited,U17121MH2008PTC182247,Under Liquidation (IBBI),Private,2008-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhayam Trading Limited,Abhayam Trading Limited,L51900TN1988PLC016275,Under Liquidation (IBBI),Public,1988-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,5,100.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector,code_location",,,,,,5,,"Below 25, BUT 5 criteria were unscored (funding, years, eng_headcount, sector, code_location). This is a research gap, not a weak lead — resolve those before deprioritising."
Abhijeet Hazaribagh Toll Road Limited,Abhijeet Hazaribagh Toll Road Limited,U45209WB2010PLC149763,Under Liquidation (IBBI),Public,2010-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhijeet Integrated Steel Limited,Abhijeet Integrated Steel Limited,U72900WB2004PLC097712,Under Liquidation (IBBI),Public,2004-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhijeet Madc Nagpur Energy Private Limited,Abhijeet Madc Nagpur Energy Private Limited,U40109MH2007PTC172271,Under Liquidation (IBBI),Private,2007-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
Abhijeet Toll Road (Karnataka) Limited,Abhijeet Toll Road (Karnataka) Limited,U45400WB2011PLC162615,Under Liquidation (IBBI),Public,2011-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhinav Steels And Power Limited,Abhinav Steels And Power Limited,U74899DL1987PLC029384,Under Liquidation (IBBI),Public,1987-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhiraami Chemicals Limited,Abhiraami Chemicals Limited,U24117PY1992PLC000855,Under Liquidation (IBBI),Public,1992-01-01,Puducherry,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abhishek Corporation Limited,Abhishek Corporation Limited,L51491PN1993PLC073706,Under Liquidation (IBBI),Public,1993-01-01,,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
Ablaze Info Solutions Private Limited,Ablaze Info Solutions Private Limited,U72900DL2010PTC207909,Under Liquidation (IBBI),Private,2010-01-01,Delhi,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Abra Motors Private Limited,Abra Motors Private Limited,U50400TN2008PTC068787,Under Liquidation (IBBI),Private,2008-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Academy for Counseling Education Private Limited,Academy for Counseling Education Private Limited,U80301MH2010PTC198345,Under Liquidation (IBBI),Private,2010-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Acaricide India Private Limited,Acaricide India Private Limited,U24120TG1995PTC021775,Under Liquidation (IBBI),Private,1995-01-01,Telangana,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Acasia Tele Services Private Limited,Acasia Tele Services Private Limited,U32202MH1998PTC115387,Under Liquidation (IBBI),Private,1998-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),5,20,25.0,dont_pursue_but_unscored,"funding,years,eng_headcount,sector",,,,,,5,,"Below 25, BUT 4 criteria were unscored (funding, years, eng_headcount, sector). This is a research gap, not a weak lead — resolve those before deprioritising."
Accent Packaging Private Limited,Accent Packaging Private Limited,U52399DD2003PTC003292,Under Liquidation (IBBI),Private,2003-01-01,Daman and Diu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Accord Industries Limited,Accord Industries Limited,U30007GJ2003PLC041867,Under Liquidation (IBBI),Public,2003-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Accutime Logistics Private Limited,Accutime Logistics Private Limited,U63090WB2007PTC114917,Under Liquidation (IBBI),Private,2007-01-01,West Bengal,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Ace Healthways Private Limited,Ace Healthways Private Limited,U85300PB2010PTC034074,Under Liquidation (IBBI),Private,2010-01-01,Punjab,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Ace Tours Worldwide Limited,Ace Tours Worldwide Limited,L63040GJ2007PLC051318,Under Liquidation (IBBI),Public,2007-01-01,Gujarat,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Achariya Techno Solutions (India) Private Limited,Achariya Techno Solutions (India) Private Limited,U72200KL2010PTC026507,Under Liquidation (IBBI),Private,2010-01-01,Kerala,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Acyuta Services Private Limited,Acyuta Services Private Limited,U74999MH2011PTC217380,Under Liquidation (IBBI),Private,2011-01-01,Maharashtra,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
Ad Mart Private Limited,Ad Mart Private Limited,U74300TN1998PTC040474,Under Liquidation (IBBI),Private,1998-01-01,Tamil Nadu,confirmed,0.77,,,,,,,,,,,0,1,https://ibbi.gov.in/en/liquidation,IBBI,https://ibbi.gov.in/en/liquidation,IBBI liquidation list (as on 2025-03-31); MCA status Under Liquidation (IBBI),,,,,,,,,,,,,
