deal_id,dealname,owner_id,company_name,website,reason
345081394898,GreyToYellow,96574824,GreyToYellow,https://greytoyellow.com,"reads as outsourcing/dev-services/staffing across LinkedIn+website, no product rescue"
345076133576,Evoluz Global Solutions,166322228,Evoluz Global Solutions,https://evoluz.tech/,"reads as outsourcing/dev-services/staffing across LinkedIn+website, no product rescue"
345047488215,Cargo,96574824,Cargo Flash InfoTech,https://bio.link/cargoflash,"reads as outsourcing/dev-services/staffing across LinkedIn+website, no product rescue"
